task_id,cmd_vx,top_gait,second_gait,metric,direction,top_value,second_value,raw_top_minus_second,favorable_gap_for_top
ramp_up_trot_robustness,0.50,pronking,trotting,weighted_metric_reward_mean,higher_better,0.798931,0.750898,0.048033,0.048033
ramp_up_trot_robustness,0.50,pronking,trotting,vx_abs_error_mean,lower_better,0.085250,0.068575,0.016674,-0.016674
ramp_up_trot_robustness,0.50,pronking,trotting,fall_rate,lower_better,0.007000,0.009000,-0.002000,0.002000
ramp_up_trot_robustness,0.50,pronking,trotting,lateral_offset_abs_mean,lower_better,1.219176,1.657111,-0.437936,0.437936
ramp_up_trot_robustness,0.50,pronking,trotting,scuffing_ratio_mean,lower_better,0.053167,0.065000,-0.011833,0.011833
ramp_up_trot_robustness,0.50,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.619284,0.438711,0.180573,-0.180573
ramp_up_trot_robustness,0.50,pronking,trotting,transport_cost_proxy,lower_better,239.556814,166.837765,72.719049,-72.719049
ramp_up_trot_robustness,0.50,pronking,trotting,score_progress,higher_better,0.944289,0.950374,-0.006085,-0.006085
ramp_up_trot_robustness,0.50,pronking,trotting,score_lateral_drift,higher_better,0.531963,0.362204,0.169759,0.169759
ramp_up_trot_robustness,0.50,pronking,trotting,score_energy,higher_better,0.620476,0.578816,0.041659,0.041659
ramp_up_trot_robustness,0.50,pronking,trotting,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
ramp_up_trot_robustness,1.00,pronking,trotting,neutral_score,higher_better,0.853870,0.844724,0.009146,0.009146
ramp_up_trot_robustness,1.00,pronking,trotting,weighted_metric_reward_mean,higher_better,0.750966,0.720370,0.030596,0.030596
ramp_up_trot_robustness,1.00,pronking,trotting,vx_abs_error_mean,lower_better,0.117291,0.128960,-0.011669,0.011669
ramp_up_trot_robustness,1.00,pronking,trotting,fall_rate,lower_better,0.018000,0.012000,0.006000,-0.006000
ramp_up_trot_robustness,1.00,pronking,trotting,lateral_offset_abs_mean,lower_better,1.517758,1.787815,-0.270057,0.270057
ramp_up_trot_robustness,1.00,pronking,trotting,scuffing_ratio_mean,lower_better,0.050917,0.045167,0.005750,-0.005750
ramp_up_trot_robustness,1.00,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.828840,0.607589,0.221252,-0.221252
ramp_up_trot_robustness,1.00,pronking,trotting,transport_cost_proxy,lower_better,170.669232,164.034334,6.634898,-6.634898
ramp_up_trot_robustness,1.00,pronking,trotting,score_progress,higher_better,0.904434,0.888988,0.015446,0.015446
ramp_up_trot_robustness,1.00,pronking,trotting,score_lateral_drift,higher_better,0.359259,0.271967,0.087291,0.087291
ramp_up_trot_robustness,1.00,pronking,trotting,score_energy,higher_better,0.632236,0.537906,0.094330,0.094330
ramp_up_trot_robustness,1.00,pronking,trotting,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
ramp_up_trot_robustness,1.50,pronking,trotting,neutral_score,higher_better,0.776433,0.763098,0.013335,0.013335
ramp_up_trot_robustness,1.50,pronking,trotting,weighted_metric_reward_mean,higher_better,0.722706,0.709393,0.013313,0.013313
ramp_up_trot_robustness,1.50,pronking,trotting,vx_abs_error_mean,lower_better,0.247610,0.246396,0.001214,-0.001214
ramp_up_trot_robustness,1.50,pronking,trotting,fall_rate,lower_better,0.021000,0.019000,0.002000,-0.002000
ramp_up_trot_robustness,1.50,pronking,trotting,lateral_offset_abs_mean,lower_better,1.685774,1.633479,0.052294,-0.052294
ramp_up_trot_robustness,1.50,pronking,trotting,scuffing_ratio_mean,lower_better,0.046667,0.046167,0.000500,-0.000500
ramp_up_trot_robustness,1.50,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.874175,0.726719,0.147456,-0.147456
ramp_up_trot_robustness,1.50,pronking,trotting,transport_cost_proxy,lower_better,189.427452,164.122429,25.305023,-25.305023
ramp_up_trot_robustness,1.50,pronking,trotting,score_progress,higher_better,0.808431,0.799549,0.008882,0.008882
ramp_up_trot_robustness,1.50,pronking,trotting,score_lateral_drift,higher_better,0.296444,0.269447,0.026997,0.026997
ramp_up_trot_robustness,1.50,pronking,trotting,score_energy,higher_better,0.538746,0.503824,0.034922,0.034922
ramp_up_trot_robustness,1.50,pronking,trotting,score_survival,higher_better,0.999800,1.000000,-0.000200,-0.000200
ramp_up_trot_robustness,2.00,pronking,trotting,neutral_score,higher_better,0.654758,0.635182,0.019576,0.019576
ramp_up_trot_robustness,2.00,pronking,trotting,weighted_metric_reward_mean,higher_better,0.712562,0.698502,0.014060,0.014060
ramp_up_trot_robustness,2.00,pronking,trotting,vx_abs_error_mean,lower_better,0.421378,0.445825,-0.024447,0.024447
ramp_up_trot_robustness,2.00,pronking,trotting,fall_rate,lower_better,0.023000,0.022000,0.001000,-0.001000
ramp_up_trot_robustness,2.00,pronking,trotting,lateral_offset_abs_mean,lower_better,1.504462,1.420613,0.083848,-0.083848
ramp_up_trot_robustness,2.00,pronking,trotting,scuffing_ratio_mean,lower_better,0.055750,0.049750,0.006000,-0.006000
ramp_up_trot_robustness,2.00,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.926503,0.765712,0.160791,-0.160791
ramp_up_trot_robustness,2.00,pronking,trotting,transport_cost_proxy,lower_better,198.491050,179.366564,19.124486,-19.124486
ramp_up_trot_robustness,2.00,pronking,trotting,score_progress,higher_better,0.673337,0.674495,-0.001159,-0.001159
ramp_up_trot_robustness,2.00,pronking,trotting,score_lateral_drift,higher_better,0.306484,0.276778,0.029706,0.029706
ramp_up_trot_robustness,2.00,pronking,trotting,score_energy,higher_better,0.497305,0.451005,0.046300,0.046300
ramp_up_trot_robustness,2.00,pronking,trotting,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
rough_slope_trot_robustness,0.50,pronking,trotting,neutral_score,higher_better,0.841523,0.830924,0.010599,0.010599
rough_slope_trot_robustness,0.50,pronking,trotting,weighted_metric_reward_mean,higher_better,0.745198,0.730355,0.014843,0.014843
rough_slope_trot_robustness,0.50,pronking,trotting,vx_abs_error_mean,lower_better,0.085260,0.085423,-0.000163,0.000163
rough_slope_trot_robustness,0.50,pronking,trotting,fall_rate,lower_better,0.006000,0.005000,0.001000,-0.001000
rough_slope_trot_robustness,0.50,pronking,trotting,lateral_offset_abs_mean,lower_better,1.507383,1.733600,-0.226218,0.226218
rough_slope_trot_robustness,0.50,pronking,trotting,scuffing_ratio_mean,lower_better,0.067083,0.076500,-0.009417,0.009417
rough_slope_trot_robustness,0.50,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.617992,0.428745,0.189247,-0.189247
rough_slope_trot_robustness,0.50,pronking,trotting,transport_cost_proxy,lower_better,226.497479,160.533160,65.964318,-65.964318
rough_slope_trot_robustness,0.50,pronking,trotting,score_progress,higher_better,0.940701,0.940103,0.000598,0.000598
rough_slope_trot_robustness,0.50,pronking,trotting,score_lateral_drift,higher_better,0.418705,0.333344,0.085361,0.085361
rough_slope_trot_robustness,0.50,pronking,trotting,score_energy,higher_better,0.644654,0.603820,0.040835,0.040835
rough_slope_trot_robustness,0.50,pronking,trotting,score_survival,higher_better,1.000000,1.000000,0.000000,0.000000
rough_slope_trot_robustness,1.00,pronking,trotting,neutral_score,higher_better,0.783244,0.773481,0.009764,0.009764
rough_slope_trot_robustness,1.00,pronking,trotting,weighted_metric_reward_mean,higher_better,0.772796,0.700360,0.072436,0.072436
rough_slope_trot_robustness,1.00,pronking,trotting,vx_abs_error_mean,lower_better,0.170775,0.165395,0.005380,-0.005380
rough_slope_trot_robustness,1.00,pronking,trotting,fall_rate,lower_better,0.015000,0.018000,-0.003000,0.003000
rough_slope_trot_robustness,1.00,pronking,trotting,lateral_offset_abs_mean,lower_better,1.675214,1.339360,0.335853,-0.335853
rough_slope_trot_robustness,1.00,pronking,trotting,scuffing_ratio_mean,lower_better,0.056417,0.058167,-0.001750,0.001750
rough_slope_trot_robustness,1.00,pronking,trotting,foot_impact_vel_sum_mean,lower_better,0.732875,0.733553,-0.000678,0.000678
rough_slope_trot_robustness,1.00,pronking,trotting,transport_cost_proxy,lower_better,177.299532,173.123864,4.175668,-4.175668
rough_slope_trot_robustness,1.00,pronking,trotting,score_progress,higher_better,0.853607,0.858356,-0.004749,-0.004749
rough_slope_trot_robustness,1.00,pronking,trotting,score_lateral_drift,higher_better,0.342888,0.424351,-0.081463,-0.081463
rough_slope_trot_robustness,1.00,pronking,trotting,score_energy,higher_better,0.613295,0.506255,0.107040,0.107040
