candidate,task_id,condition,cmd_vx,rank,gait,score,soft_prob
efficiency,flat_trot_efficiency,flat,2.0,4,bounding,0.5759299066849054,0.08437088485585821
efficiency,push_lateral_pace_recovery,push_lateral,1.2,1,trotting,0.7492754509772307,0.5189925326611774
efficiency,push_lateral_pace_recovery,push_lateral,1.2,2,pronking,0.7237706401584937,0.22178958886041145
efficiency,push_lateral_pace_recovery,push_lateral,1.2,3,bounding,0.7078527879535355,0.13046879260038957
efficiency,push_lateral_pace_recovery,push_lateral,1.2,4,pacing,0.7074547293097048,0.12874908587802159
efficiency,push_lateral_pace_recovery,push_lateral,1.5,1,trotting,0.7102292738023347,0.47493468445335213
efficiency,push_lateral_pace_recovery,push_lateral,1.5,2,pronking,0.6900750631965431,0.24258939168881247
efficiency,push_lateral_pace_recovery,push_lateral,1.5,3,pacing,0.6845635161069888,0.20187567379473398
efficiency,push_lateral_pace_recovery,push_lateral,1.5,4,bounding,0.6570190077181907,0.08060025006310134
efficiency,push_lateral_pace_recovery,push_lateral,1.8,1,trotting,0.6745475493704102,0.5632435097867236
efficiency,push_lateral_pace_recovery,push_lateral,1.8,2,pronking,0.6413672355369532,0.18636397107366853
efficiency,push_lateral_pace_recovery,push_lateral,1.8,3,pacing,0.6398031903829959,0.1768968433726509
efficiency,push_lateral_pace_recovery,push_lateral,1.8,4,bounding,0.6134529848183905,0.07349567576695709
efficiency,ramp_up_trot_robustness,ramp_up,0.5,1,pacing,0.8080409648079825,0.46028350296127657
efficiency,ramp_up_trot_robustness,ramp_up,0.5,2,trotting,0.7925060511084406,0.2742423360867018
efficiency,ramp_up_trot_robustness,ramp_up,0.5,3,pronking,0.7855250719751764,0.21730738008337278
efficiency,ramp_up_trot_robustness,ramp_up,0.5,4,bounding,0.7403257741908809,0.04816678086864885
efficiency,ramp_up_trot_robustness,ramp_up,1.0,1,pacing,0.7605665661228289,0.3917634593017299
efficiency,ramp_up_trot_robustness,ramp_up,1.0,2,trotting,0.7489299295370335,0.2658069653904387
efficiency,ramp_up_trot_robustness,ramp_up,1.0,3,pronking,0.7452007119843205,0.23473638054563475
efficiency,ramp_up_trot_robustness,ramp_up,1.0,4,bounding,0.7218254108530736,0.10769319476219656
efficiency,ramp_up_trot_robustness,ramp_up,1.5,1,pronking,0.6951645688552942,0.42212129631855533
efficiency,ramp_up_trot_robustness,ramp_up,1.5,2,pacing,0.681304675393871,0.26594679129734045
efficiency,ramp_up_trot_robustness,ramp_up,1.5,3,trotting,0.6789449422088054,0.2458295680987763
efficiency,ramp_up_trot_robustness,ramp_up,1.5,4,bounding,0.6395419140712226,0.06610234428532791
efficiency,ramp_up_trot_robustness,ramp_up,2.0,1,trotting,0.5833469358871558,0.4020928281696707
efficiency,ramp_up_trot_robustness,ramp_up,2.0,2,pronking,0.5789759705574917,0.34757627366633714
efficiency,ramp_up_trot_robustness,ramp_up,2.0,3,pacing,0.5622235265660234,0.19885369111093748
efficiency,ramp_up_trot_robustness,ramp_up,2.0,4,bounding,0.5216806203991708,0.05147720705305488
efficiency,rough_slope_trot_robustness,rough_slope,0.5,1,pacing,0.7791552615401867,0.32871291872247416
efficiency,rough_slope_trot_robustness,rough_slope,0.5,2,trotting,0.7786665051659968,0.3234009559999368
efficiency,rough_slope_trot_robustness,rough_slope,0.5,3,pronking,0.7729335155454463,0.2671454453471412
efficiency,rough_slope_trot_robustness,rough_slope,0.5,4,bounding,0.7370369941678032,0.08074067993044776
efficiency,rough_slope_trot_robustness,rough_slope,1.0,1,pacing,0.7389982986164148,0.35147152093030076
