candidate,task_id,condition,cmd_vx,gait,gait_id,balanced_score,neutral_score,weighted_metric_reward_mean,vx_abs_error_mean,fall_rate,lateral_offset_abs_mean,scuffing_ratio_mean,foot_impact_vel_sum_mean,transport_cost_proxy,actual_frequency_mean,actual_duration_mean,actual_footswing_height_mean,actual_stance_width_mean,actual_body_pitch_mean,efficiency_score,robustness_score,contact_safety_score
efficiency,push_lateral_pace_recovery,push_lateral,1.8,bounding,2.0,,0.5995744585226743,0.8060801029205322,0.37916988134384155,0.023000001907348633,1.3733267784118652,0.1508333384990692,0.9086778163909912,206.03206327818543,3.000000238418579,0.5,0.11999969929456711,0.3800007998943329,0.0,0.6134529848183905,,
efficiency,push_lateral_pace_recovery,push_lateral,1.8,pacing,3.0,,0.5959292398049281,0.8023867011070251,0.3432987332344055,0.026000000536441803,1.1026420593261719,0.1210833340883255,0.7525079250335693,184.1856521082546,2.5,0.5,0.11999969929456711,0.3800007998943329,0.0,0.6398031903829959,,
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,pronking,0.0,,0.5928167304710338,0.6840771436691284,0.4700624346733093,0.01900000125169754,1.6076295375823975,0.11741665005683899,0.9486640691757202,223.38181826903198,3.3856091499328613,0.5,0.10892024636268616,0.36855971813201904,0.0,0.5218830076046288,,
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,trotting,1.0,,0.5408682240859458,0.7765564918518066,0.5766457319259644,0.017000000923871994,1.7982479333877563,0.14158335328102112,0.6905728578567505,239.59968916420806,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,0.5145502461486363,,
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,bounding,2.0,,0.5786671499280555,0.6601966023445129,0.4926588833332062,0.021000001579523087,1.577707052230835,0.10991665720939636,0.6909087896347046,238.86168658099157,2.6145195960998535,0.5,0.11999969929456711,0.3414517939090729,0.03854742646217346,0.5164089124716287,,
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,pacing,3.0,,0.5749960368205057,0.8109382390975952,0.48170965909957886,0.018000001087784767,1.6949282884597778,0.11516664922237396,0.7115359902381897,229.96897806342878,2.5,0.5,0.11999969929456711,0.3800007998943329,0.0,0.5413605849399963,,
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,pronking,0.0,,0.48615795726838873,0.7661190629005432,0.8046771287918091,0.02199999988079071,1.1403656005859375,0.12166665494441986,0.857271671295166,283.96794619197505,3.000000238418579,0.5,0.08000031858682632,0.33000147342681885,0.0,0.45141692197233046,,
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,trotting,1.0,,0.5370818644173835,0.676105260848999,0.6875001192092896,0.020000001415610313,1.3195879459381104,0.11316666752099991,0.6461361646652222,228.84288790649245,2.6150221824645996,0.5,0.10887317359447479,0.33000147342681885,0.0,0.47048769981068156,,
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,bounding,2.0,,0.5187366121497594,0.7127339839935303,0.6856209635734558,0.018000001087784767,1.2381176948547363,0.10349999368190765,0.7327448129653931,260.0446277269294,2.6150104999542236,0.5,0.11999969929456711,0.3800007998943329,0.0,0.4653351789706254,,
efficiency,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,pacing,3.0,,0.5655769932230836,0.7156381607055664,0.5874982476234436,0.02500000037252903,1.7701060771942139,0.10174998641014099,0.5690653920173645,211.34558338516047,2.5,0.5,0.11999969929456711,0.3800007998943329,0.0384400375187397,0.51078926729055,,
